id,name,office,role,state,county_or_region,jurisdiction,website,email,phone,source_file,source_row_number,notes
co-20debbf99da8a599,Peter McNeilly,"U.S. Attorney's Office, Colorado",U.S. Attorney,CO,,Colorado,https://www.justice.gov/usao-co,,,us-attorneys-doj-2026.csv,12,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ct-54b9914d4a34bb92,David X. Sullivan,"U.S. Attorney's Office, Connecticut",U.S. Attorney,CT,,Connecticut,https://www.justice.gov/usao-ct,,,us-attorneys-doj-2026.csv,13,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
de-e322adbf54373ced,Ben Wallace,"U.S. Attorney's Office, Delaware",U.S. Attorney,DE,,Delaware,https://www.justice.gov/usao-de,,,us-attorneys-doj-2026.csv,14,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
dc-4e0e48c3df38163b,Jeanine Ferris Pirro,"U.S. Attorney's Office, District of Columbia",U.S. Attorney,DC,,District of Columbia,https://www.justice.gov/usao-d,,,us-attorneys-doj-2026.csv,15,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
fl-eaee2e3a51522a2e,Gregory Kehoe,"U.S. Attorney's Office, Middle District of Florida",U.S. Attorney,FL,,Middle District of Florida,https://www.justice.gov/usao-mdfl,,,us-attorneys-doj-2026.csv,16,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
fl-6d5517f432d46b25,John P. Heekin,"U.S. Attorney's Office, Northern District of Florida",U.S. Attorney,FL,,Northern District of Florida,https://www.justice.gov/usao-ndfl,,,us-attorneys-doj-2026.csv,17,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
fl-4cca3772a53aac88,Jason A. Reding Quinones,"U.S. Attorney's Office, Southern District of Florida",U.S. Attorney,FL,,Southern District of Florida,https://www.justice.gov/usao-sdfl,,,us-attorneys-doj-2026.csv,18,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
ga-1e98eb9d321da5df,William R. Keyes,"U.S. Attorney's Office, Middle District of Georgia",U.S. Attorney,GA,,Middle District of Georgia,https://www.justice.gov/usao-mdg,,,us-attorneys-doj-2026.csv,19,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ga-41e29acb35823d1f,Theodore S. Hertzberg,"U.S. Attorney's Office, Northern District of Georgia",U.S. Attorney,GA,,Northern District of Georgia,https://www.justice.gov/usao-ndg,,,us-attorneys-doj-2026.csv,20,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ga-8de283f04f4b5cf9,Meg E. Heap,"U.S. Attorney's Office, Southern District of Georgia",U.S. Attorney,GA,,Southern District of Georgia,https://www.justice.gov/usao-sdg,,,us-attorneys-doj-2026.csv,21,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
gu-957cb043ef175671,Shawn N. Anderson,"U.S. Attorney's Office, Guam & Northern Mariana Islands",U.S. Attorney,GU,,Guam & Northern Mariana Islands,https://www.justice.gov/usao-gu,,,us-attorneys-doj-2026.csv,22,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
hi-0bd5fdcf7dd93ff9,Kenneth M. Sorenson,"U.S. Attorney's Office, Hawaii",U.S. Attorney,HI,,Hawaii,https://www.justice.gov/usao-hi,,,us-attorneys-doj-2026.csv,23,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
id-95db1a9f8b5ab3ae,Bart Davis,"U.S. Attorney's Office, Idaho",U.S. Attorney,ID,,Idaho,https://www.justice.gov/usao-id,,,us-attorneys-doj-2026.csv,24,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
il-f44c224ab733a469,Gregory M. Gilmore,"U.S. Attorney's Office, Central District of Illinois",U.S. Attorney,IL,,Central District of Illinois,https://www.justice.gov/usao-cdil,,,us-attorneys-doj-2026.csv,25,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Acting United States Attorney."
il-4110d3ff4758169a,Andrew S. Boutros,"U.S. Attorney's Office, Northern District of Illinois",U.S. Attorney,IL,,Northern District of Illinois,https://www.justice.gov/usao-ndil,,,us-attorneys-doj-2026.csv,26,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
il-85074f07bc9c96d0,Steven D. Weinhoeft,"U.S. Attorney's Office, Southern District of Illinois",U.S. Attorney,IL,,Southern District of Illinois,https://www.justice.gov/usao-sdil,,,us-attorneys-doj-2026.csv,27,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
in-9216082d4fb30893,Adam Mildred,"U.S. Attorney's Office, Northern District of Indiana",U.S. Attorney,IN,,Northern District of Indiana,https://www.justice.gov/usao-ndin,,,us-attorneys-doj-2026.csv,28,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
in-cb1d4182be063d4f,Tom Wheeler,"U.S. Attorney's Office, Southern District of Indiana",U.S. Attorney,IN,,Southern District of Indiana,https://www.justice.gov/usao-sdin,,,us-attorneys-doj-2026.csv,29,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
ia-43bae60cd0c844b8,Leif Olson,"U.S. Attorney's Office, Northern District of Iowa",U.S. Attorney,IA,,Northern District of Iowa,https://www.justice.gov/usao-ndi,,,us-attorneys-doj-2026.csv,30,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
ia-3200fec8b8faa73d,David Waterman,"U.S. Attorney's Office, Southern District of Iowa",U.S. Attorney,IA,,Southern District of Iowa,https://www.justice.gov/usao-sdi,,,us-attorneys-doj-2026.csv,31,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Presidentially Appointed (The Honorable)."
